Date,Domain,SSP_Dash,SSP_Impressions,SSP,SSP Dash,SSP Impr
2025-05-17,visitsanantonio.com,0.07,29.0,PubMatic,,
2025-05-17,vax.co.uk,0.0,0.0,PubMatic,,
2025-05-17,squareup.com,1.0,312.0,PubMatic,,
2025-05-17,broward.edu,0.0,2.0,PubMatic,,
2025-05-17,yahoo.com,0.0,7.0,PubMatic,,
2025-05-17,prudential.com,0.0,5.0,PubMatic,,
2025-05-17,saksfifthavenue.com,1.19,1178.0,PubMatic,,
2025-05-17,expeditions.com,0.17,31.0,PubMatic,,
2025-05-17,torrid.com,0.01,7.0,PubMatic,,
2025-05-17,visitestespark.com,0.0,0.0,PubMatic,,
2025-05-17,esalerugs.com,0.0,0.0,PubMatic,,
2025-05-17,mars.com,0.37,282.0,PubMatic,,
2025-05-17,panasonic.com,0.14,191.0,PubMatic,,
2025-05-17,zennioptical.com,0.02,18.0,PubMatic,,
2025-05-17,barclaycard.co.uk,0.01,2.0,PubMatic,,
2025-05-17,christopherandbanks.com,0.12,49.0,PubMatic,,
2025-05-17,viator.com,0.0,0.0,PubMatic,,
2025-05-17,visitpa.com,0.1,113.0,PubMatic,,
2025-05-17,waldenu.edu,0.36,50.0,PubMatic,,
2025-05-17,travelmanitoba.com,0.0,1.0,PubMatic,,
2025-05-17,moen.com,0.4,790.0,PubMatic,,
2025-05-17,katespade.com,0.0,0.0,PubMatic,,
2025-05-17,shell.com,0.09,353.0,PubMatic,,
2025-05-17,washington.org,0.0,4.0,PubMatic,,
2025-05-17,dukehealth.org,0.0,2.0,PubMatic,,
2025-05-17,michaels.com,0.0,0.0,PubMatic,,
2025-05-17,enjoyillinois.com,0.0,3.0,PubMatic,,
2025-05-17,toshiba.com,0.0,1.0,PubMatic,,
2025-05-17,tgw.com,0.0,4.0,PubMatic,,
2025-05-17,sklz.com,0.01,6.0,PubMatic,,
2025-05-17,united.com,0.02,24.0,PubMatic,,
2025-05-17,chicagosfoodbank.org,0.0,1.0,PubMatic,,
2025-05-17,amazon.com,120.52,98884.0,PubMatic,,
2025-05-17,citi.com,0.0,0.0,PubMatic,,
2025-05-17,njea.org,0.38,79.0,PubMatic,,
2025-05-17,cooltoday.com,0.01,9.0,PubMatic,,
2025-05-17,depend.com,0.4,138.0,PubMatic,,
2025-05-17,davidsbridal.com,0.06,57.0,PubMatic,,
2025-05-17,samsclub.com,0.03,110.0,PubMatic,,
2025-05-17,cdw.com,2.03,1570.0,PubMatic,,
2025-05-17,3m.com,0.49,312.0,PubMatic,,
2025-05-17,bp.com,0.0,3.0,PubMatic,,
2025-05-17,topsmarkets.com,0.01,5.0,PubMatic,,
2025-05-17,daytonabeach.com,0.07,23.0,PubMatic,,
2025-05-17,clevelandclinic.org,0.05,26.0,PubMatic,,
2025-05-17,transunion.com,0.07,20.0,PubMatic,,
2025-05-17,newfoundlandlabrador.com,0.27,73.0,PubMatic,,
2025-05-17,revlon.com,0.34,277.0,PubMatic,,
2025-05-17,abbott.com,0.02,30.0,PubMatic,,
2025-05-17,telus.com,0.0,0.0,PubMatic,,
2025-05-17,weber.com,0.11,250.0,PubMatic,,
2025-05-17,hyundai.com,0.0,1.0,PubMatic,,
2025-05-17,akamai.com,0.0,1.0,PubMatic,,
2025-05-17,t-mobile.com,0.09,71.0,PubMatic,,
2025-05-17,barclays.co.uk,0.09,14.0,PubMatic,,
2025-05-17,consumercellular.com,0.07,27.0,PubMatic,,
2025-05-17,intel.com,0.0,1.0,PubMatic,,
2025-05-17,mcafee.com,0.17,108.0,PubMatic,,
2025-05-17,nyc.gov,0.0,3.0,PubMatic,,
2025-05-17,niello.com,0.42,59.0,PubMatic,,
2025-05-17,louisianatravel.com,0.13,250.0,PubMatic,,
2025-05-17,youtube.com,0.56,1101.0,PubMatic,,
2025-05-17,phone.com,0.06,43.0,PubMatic,,
2025-05-17,valuepetsupplies.com,0.0,8.0,PubMatic,,
2025-05-17,allianz.com.au,0.0,0.0,PubMatic,,
2025-05-17,sap.com,0.0,0.0,PubMatic,,
2025-05-17,schneiderjobs.com,0.0,1.0,PubMatic,,
2025-05-17,eecu.org,0.01,10.0,PubMatic,,
2025-05-17,vrbo.com,0.43,630.0,PubMatic,,
2025-05-17,missionfed.com,0.0,0.0,PubMatic,,
2025-05-17,pedigree.com,0.0,1.0,PubMatic,,
2025-05-17,austrian.com,0.02,18.0,PubMatic,,
2025-05-17,adidas.com,0.02,16.0,PubMatic,,
2025-05-17,columbia.edu,0.02,11.0,PubMatic,,
2025-05-17,katesomerville.com,0.0,1.0,PubMatic,,
2025-05-17,thehartford.com,0.08,35.0,PubMatic,,
2025-05-17,medscape.com,0.06,95.0,PubMatic,,
2025-05-17,medscape.org,0.2,158.0,PubMatic,,
2025-05-17,panerabread.com,0.0,2.0,PubMatic,,
2025-05-17,apmex.com,0.02,28.0,PubMatic,,
2025-05-17,epsilon.com,0.0,2.0,PubMatic,,
2025-05-17,bausch.com,0.04,45.0,PubMatic,,
2025-05-17,hy-vee.com,0.0,14.0,PubMatic,,
2025-05-17,experian.co.uk,0.0,2.0,PubMatic,,
2025-05-17,case-mate.com,0.18,76.0,PubMatic,,
2025-05-17,ticketmaster.com,0.1,40.0,PubMatic,,
2025-05-17,pulte.com,4.09,2332.0,PubMatic,,
2025-05-17,palaceresorts.com,0.08,26.0,PubMatic,,
2025-05-17,extraspace.com,0.03,24.0,PubMatic,,
2025-05-17,docusign.com,0.0,0.0,PubMatic,,
2025-05-17,msichicago.org,0.01,7.0,PubMatic,,
2025-05-17,airnewzealand.com,0.2,56.0,PubMatic,,
2025-05-17,westernunion.com,0.01,16.0,PubMatic,,
2025-05-17,oxfam.org.uk,0.01,13.0,PubMatic,,
2025-05-17,outback.com,0.01,5.0,PubMatic,,
2025-05-17,fossil.com,0.03,81.0,PubMatic,,
2025-05-17,hammockbeach.com,0.08,27.0,PubMatic,,
2025-05-17,jetblue.com,0.28,928.0,PubMatic,,
2025-05-17,keurig.com,0.13,181.0,PubMatic,,
2025-05-17,qantas.com.au,0.02,3.0,PubMatic,,
2025-05-17,qantas.com,0.0,0.0,PubMatic,,
2025-05-17,wizzair.com,0.02,7.0,PubMatic,,
2025-05-17,devry.edu,0.02,17.0,PubMatic,,
